對象	類別	樂團	角色	追蹤中	把握程度
Afterglow	團體			是	—
Pastel＊Palettes	團體			是	—
Morfonica	團體			是	—
sumimi	團體			是	—
金元壽子	個人	Afterglow	羽澤鶇	是	高（你的活動表裡已經用過這個角色名）
加藤英美里	個人	Afterglow	上原緋瑪麗	是	高（活動表裡用過）
三澤紗千香	個人	Afterglow	青葉摩卡	是	高（活動表裡用過）
前島亞美	個人	Pastel＊Palettes	丸山彩	是	高（活動表裡用過）
豐田萌繪	個人	Pastel＊Palettes	冰川日菜	是	高（活動表裡用過）
伊藤美來	個人	Pastel＊Palettes	若宮伊芙	是	高（角色名是我譯的，請確認寫法）
西尾夕香	個人	Morfonica	倉田真白	是	中高（角色名是我譯的，請確認寫法）
進藤あまね	個人	Morfonica	桐谷透子	是	中高（角色名是我譯的，請確認寫法）
直田姬奈	個人	Morfonica	廣町七深	是	中高（角色名是我譯的，請確認寫法）
反田葉月	個人	sumimi	純田真奈	是	高（你的活動表就寫「Sumimi／純田真奈」）
Ayasa	個人	Morfonica	二葉筑紫	是	中（她同時是小提琴演出者，角色對應請你確認）
上坂菫	個人			是	低 — 她這兩場是《金肉人》與動漫祭的來賓，不確定有沒有邦邦角色
三森鈴子	個人	Glitter☆Green		是	低 — 團對得上，但我不確定角色是哪一個
小澤亞李	個人			是	低 — 兩場都是 WCS／AniStar 的來賓場，不確定有沒有邦邦角色
千春	個人			是	低 — Millsage 太新，我不確定
