編號	日期	活動名稱	售票狀況
#001	2018-02-03	BanG Dream! 少女樂團派對！2018聲優見面會 Poppin'Party	
#002	2018-02-03	《BanG Dream! 少女樂團派對》Poppin'Party 聲優街頭生放送	
#003	2018-04-07	THE IDOLM@STER CINDERELLA GIRLS Initial Mess@ge	
#004	2018-05-19	PF28 金元壽子 Talkshow／特別來賓簽名抽獎	
#005	2018-08-18	2018少女樂團派對! 聲優見面會	
#006	2018-09-30	KING SUPER LIVE 2018 in 台灣	
#007	2018-12-15	LisAni！LIVE TAIWAN 2018 SATURDAY STAGE	
#008	2018-12-16	MIMORI SUZUKO 5th Anniversary Live「five tones」in 台灣	
#009	2019-01-21	相羽亞衣奈 2019聲優見面會	
#010	2019-08-04	2019漫畫博覽會 Netflix「動漫魂大爆發！」聲優舞台	
#011	2023-05-20	Bushiroad EXPO 2023	
#012	2023-07-29	《SPY×FAMILY 間諜家家酒》聲優見面會	
#013	2023-11-19	BanG Dream! 少女樂團派對 6週年特別活動 2023聲優見面會	
#014	2024-02-02	Bushiroad EXPO 2024	
#015	2024-02-03	Bushiroad EXPO 2024	
#016	2024-03-02	一日店長特別活動	
#017	2024-03-03	Raychell個人簽售會	
#018	2024-03-23	RAISE A SUILEN ASIA TOUR 2024 IN TAIPEI	
#019	2024-06-28	Ani Crew DJ Live in Taipei	
#020	2024-11-16	Sumire Uesaka Fan Meeting in Taipei	
#021	2025-02-08	《金肉人 完美超人始祖篇》聲優上坂堇見面會	
#022	2025-02-08	Bushiroad EXPO 2025 in Taipei《BanG Dream!》系列聲優活動	
#023	2025-02-09	Bushiroad EXPO 2025 in Taipei 聲優渡瀨結月、立石凛簽名會	
#024	2025-02-15	BanG Dream! 少女樂團派對 7週年紀念特別活動 MyGO!!!!! 2025聲優見面會	
#025	2025-04-20	2025 霓虹綠洲音樂祭 米澤茜舞台演出＆見面會	
#026	2025-05-24	ANISAMA WORLD 2025 in TAOYUAN	
#027	2025-06-21	AniStar 特別企劃｜小澤亞李 台灣粉絲見面會＆簽名會	
#028	2025-08-23	Ani-mode 花火大會	
#029	2025-09-29	三澤紗千香 Fan Meeting in Taiwan - 好想去台灣！-	
#030	2025-11-09	AKANE YONEZAWA "Numb show?" TOUR -Taipei-	
#031	2025-11-22	リスアニ！LIVE TAIPEI 2025	
#032	2025-12-10	《劇場版 BanG Dream! It’s MyGO!!!!! 前篇》聲優來台特別場（A／B部）	
#033	2025-12-26	Roselia ASIA TOUR「Neuweltfahrt」台北公演	
#034	2026-01-17	VOICE STAGE Vol.1 小原莉子台灣粉絲見面會	
#035	2026-02-05	Bushiroad EXPO 2026	
#036	2026-02-06	ATC Special Stage 工藤晴香聲優見面會	
#037	2026-02-07	ATC Special Stage 伊藤美來聲優見面會	
#038	2026-02-08	戀上換裝娃娃 直田姬奈聲優見面親遞會	
#039	2026-03-21	前島亞美粉絲見面會 2026 in 台北	
#040	2026-04-04	2026 A.C.F 秋葉原動漫祭 上坂堇聲優見面會	
#041	2026-04-07	BanG Dream! Special LIVE 台北限定快閃店	
#042	2026-04-11	BanG Dream! Special LIVE in TAIPEI DAY1：MyGO!!!!! × Ave Mujica「"moment / memory"」	
#043	2026-04-12	BanG Dream! Special LIVE in TAIPEI DAY2：Poppin'Party × Roselia「DREAMS GO ON」	
#044	2026-04-25	AIMI LIVE TOUR “NEW WORLD” 台北公演	
#045	2026-05-09	WCS TAIWAN 2026 小澤亞李見面會	
#046	2026-05-10	ANISAMA in TAIPEI 2026 -DOSHA!-	
#047	2026-10-11	Kanon Shizaki Fan Meeting “NON” Stop XI in Taipei	
#048	2026-08-01	小日向美香のひなたぼっこ。～台北出差版 with 櫻川めぐ	
#049	2026-08-02	2026 Poppin’Party 聲優見面會	
#050	2026-08-07	Ave Mujica LIVE TOUR 2026「Exitus」台北限定快閃店	
#051	2026-08-08	Ave Mujica LIVE TOUR 2026「Exitus」台北追加公演	
#052	2026-08-15	反田葉月 1st LIVE tour「全力Melty Summer!!!」特別篇 台北公演	
#053	2026-09-27	林鼓子粉絲見面會 台北	
#054	2026-10-17	TSUMUGI RISA FAN MEETING 2026 in TAIPEI	
#055	2026-10-31	Ayasa首次臺北見面會	
#056	2026-11-07	工藤晴香 Fan Meeting 2026 in Taipei	
#057	2026-11-14	AKANE YONEZAWA "Black Pasta" TOUR in Taipei	
#058	2026-11-28	伊藤美来 10th Anniversary Live Tour「39rpm」	
#059	2026-12-05	AIMI ASIA TOUR 2026「STAR RISING」	
