"日期","對象","類型","標題","地點","狀態","連結","年","月"
"2026-08-16","中島由貴","FMT","中島由貴 Fan Event 2026 in 和歌山","和歌山","已公開","https://www.eventernote.com/actors/中島由貴/12491","2026","8"
"2026-08-16","大橋彩香","FMT","中島由貴 Fan Event 2026 in 和歌山","和歌山","已公開","https://www.eventernote.com/actors/中島由貴/12492","2026","8"
"2026-08-16","櫻川惠","FMT","中島由貴 Fan Event 2026 in 和歌山","和歌山","已公開","https://www.eventernote.com/actors/中島由貴/12493","2026","8"
"2026-8-16","愛美","LIVE／發售活動","「AIM STAR」發售紀念 Free Mini Live","日本","已公開","https://www.eventernote.com/actors/2806","2026","8"
"2026-08-16","Ave Mujica","音樂祭","SUMMER SONIC 2026 TOKYO","ZOZO Marine Stadium","已公開","https://www.eventernote.com/actors/%E9%AB%98%E5%B0%BE%E5%A5%8F%E9%9F%B3/12490?utm_source=chatgpt.com","2026","8"
"2026-08-20","佐佐木李子","LIVE","RI PATHOS LIVE in OSAKA/TOKYO 東京公演","Zepp Shinjuku","已公開","https://sasakirico.lantis.jp/news/news-live/680/","2026","8"
"2026-08-21","櫻川惠","LIVE/活動","マドソフト Cultures Fes 2026 Summer DAY3","AKIBA Cultures Theater","已公開","https://www.eventernote.com/actors/%E6%AB%BB%E5%B7%9D%E3%82%81%E3%81%90/2751","2026","8"
"2026-08-21","大塚紗英","LIVE","再演・ロマンス至上主義＆路上ツアー -fukyo- 東京 Finale","新宿 SAMURAI","已公開","https://tiget.net/events/478763?utm_source=chatgpt.com","2026","8"
"2026-08-22","愛美","FMT","チームY シネマミーティング♪","MOVIX 川口","已公開","https://www.eventernote.com/actors/%E6%84%9B%E7%BE%8E/2806/events","2026","8"
"2026-08-22","伊藤彩沙","FMT","チームY シネマミーティング♪","MOVIX 川口","已公開","https://www.eventernote.com/actors/%E6%84%9B%E7%BE%8E/2806/events","2026","8"
"2026-08-22","立石凜","活動","リアルモニタ凛グルーム #02","Theater Mercury 新宿","已公開","https://www.eventernote.com/actors/%E9%9D%92%E6%9C%A8%E9%99%BD%E8%8F%9C/59830?utm_source=chatgpt.com","2026","8"
"2026-08-22","青木陽菜","活動","リアルモニタ凛グルーム #02","Theater Mercury 新宿","已公開","https://www.eventernote.com/actors/%E9%9D%92%E6%9C%A8%E9%99%BD%E8%8F%9C/59830?utm_source=chatgpt.com","2026","8"
"2026-08-22","紡木吏佐","LIVE/DJ","Anisong Scramble","MAG's PARK／澀谷","已公開","https://www.eventernote.com/actors/%E7%B4%A1%E6%9C%A8%E5%90%8F%E4%BD%90/32136/events","2026","8"
"2026-08-22","小原莉子","LIVE/DJ","Anisong Scramble","MAG's PARK／澀谷","已公開","https://www.eventernote.com/actors/%E7%B4%A1%E6%9C%A8%E5%90%8F%E4%BD%90/32136/events","2026","8"
"2026-08-22","岡田夢以","LIVE","Merm4id 10th LIVE「Summer Killer『天極』」","東京","已公開","https://ticketjam.jp/tickets/okada-mei","2026","8"
"2026-08-23","佐佐木李子","朗讀劇","《かげきしょうじょ!!》5周年朗讀劇「星の旅人」","光之丘 IMA Hall","已公開","https://www.eventernote.com/actors/佐佐木李子/19452/events","2026","8"
"2026-08-23","大橋彩香","公錄","NHK「みんなDEどーもくん！」公開收錄","水戶市民會館","已公開","https://www.eventernote.com/actors/%E5%A4%A7%E6%A9%8B%E5%BD%A9%E9%A6%99/2777","2026","8"
"2026-08-27","西本里美","朗讀劇","πTOKYO 夏の！朗読祭り！！","πTOKYO","已公開","https://www.eventernote.com/actors/%E8%A5%BF%E6%9C%AC%E3%82%8A%E3%81%BF/13822?utm_source=chatgpt.com","2026","8"
"2026-8-28","岡田夢以","LIVE","DIVINE 2nd Live「The High Priestess」","日本","已公開","https://www.eventernote.com/actors/%E5%B2%A1%E7%94%B0%E5%A4%A2%E4%BB%A5/37809/events?utm_source=chatgpt.com","2026","8"
"2026-08-29","Roselia","LIVE","Roselia 10th Anniversary「Lehre der Rose」DAY1","有明Arena","已公開","https://www.eventernote.com/events/463597","2026","8"
