"對象","類別","樂團","角色","追蹤中"
"愛美","個人","Poppin'Party","戶山香澄","是"
"伊藤彩沙","個人","Poppin'Party","市谷有咲","是"
"西本里美","個人","Poppin'Party","牛込里美","是"
"大塚紗英","個人","Poppin'Party","花園多惠","是"
"大橋彩香","個人","Poppin'Party","山吹沙綾","是"
"Poppin'Party","團體","Poppin'Party","","是"
"相羽あいな","個人","Roselia","湊有希那","是"
"工藤晴香","個人","Roselia","冰川紗夜","是"
"中島由貴","個人","Roselia","今井莉莎","是"
"櫻川惠","個人","Roselia","宇田川亞子","是"
"志崎樺音","個人","Roselia","白金燐子","是"
"Roselia","團體","Roselia","","是"
"Raychell","個人","RAISE A SUILEN","LAYER","是"
"紡木吏佐","個人","RAISE A SUILEN","CHU^2","是"
"夏芽","個人","RAISE A SUILEN","MASKING","是"
"倉知玲鳳","個人","RAISE A SUILEN","PAREO","是"
"小原莉子","個人","RAISE A SUILEN","LOCK","是"
"RAISE A SUILEN","團體","RAISE A SUILEN","","是"
"羊宮妃那","個人","MyGO!!!!!","高松燈","是"
"立石凜","個人","MyGO!!!!!","千早愛音","是"
"青木陽菜","個人","MyGO!!!!!","要樂奈","是"
"小日向美香","個人","MyGO!!!!!","長崎爽世","是"
"林鼓子","個人","MyGO!!!!!","椎名立希","是"
"MyGO!!!!!","團體","MyGO!!!!!","","是"
"佐佐木李子","個人","Ave Mujica","Doloris","是"
"渡瀨結月","個人","Ave Mujica","Mortis","是"
"米澤茜","個人","Ave Mujica","Amoris","是"
"岡田夢以","個人","Ave Mujica","Timoris","是"
"高尾奏音","個人","Ave Mujica","Obilivionis","是"
"Ave Mujica","團體","Ave Mujica","","是"
