"歌名","樂團","專輯","發行","作詞","作曲","編曲","連結","封面","別名","備註"
"!NVADE SHOW!","RAISE A SUILEN","","","","","","","","",""
"S/' The Way","Ave Mujica","","","","","","","","",""
"八芒星ダンス","Ave Mujica","","","","","","","","",""
"黒のバースデイ","Ave Mujica","","","","","","","","",""
"顔","Ave Mujica","","","","","","","","",""
"AthisCode","Poppin'Party","","","","","","","","",""
"BRAVE JEWEL","Roselia","","","","","","","","",""
"Choir 'S' Choir","Ave Mujica","","","","","","","","",""
"DIVINE","Ave Mujica","","","","","","","","",""
"FIRE BIRD","Roselia","","","","","","","","",""
"HELL! or HELL?","RAISE A SUILEN","","","","","","","","",""
"HELP","Poppin'Party","","","","","","","","",""
"KiLLKiSS","Ave Mujica","","","","","","","","",""
"MAGICAL DESTROYER","Poppin'Party","","","","","","","","",""
"Mas?uerade Rhapsody Re?uest","Ave Mujica","","","","","","","","",""
"R","Roselia","","","","","","","","",""
"Sophie","Ave Mujica","","","","","","","","",""
"Steadfast Spirits","Roselia","","","","","","","","",""
"Symbol I : △","Ave Mujica","","","","","","","","",""
"Symbol II : Air","Ave Mujica","","","","","","","","",""
"Symbol IV : Earth","Ave Mujica","","","","","","","","",""
"UNSTOPPABLE","RAISE A SUILEN","","","","","","","","",""
"メリトクラシー","Poppin'Party","","","","","","","","",""
"一冊のアロー","","","","","","","","","",""
"不器用に 君のとなり","Pastel＊Palettes","","","","","","","","",""
"天球(そら)のMúsica","Ave Mujica","","","","","","","","",""
"光るなら","","","","","","","","","",""
"光をくれるあなたへ","","","","","","","","","",""
"回層浮","MyGO!!!!!","","","","","","","","",""
"君の知らない物語","","","","","","","","","",""
"壱雫空","MyGO!!!!!","","","","","","","","",""
"灼熱 Bonfire!","RAISE A SUILEN","","","","","","","","",""
"夜隠染","MyGO!!!!!","","","","","","","","",""
"孤壊牢","MyGO!!!!!","","","","","","","","",""
"往欄印","MyGO!!!!!","","","","","","","","",""
"青100色","","","","","","","","","",""
"砂寸奏","MyGO!!!!!","","","","","","","","",""
"約束","Roselia","","","","","","","","",""
"軌跡","Roselia","","","","","","","","",""
"神さま、バカ","Ave Mujica","","","","","","","","",""
"素晴らしき世界 でも どこにもない場所","Ave Mujica","","","","","","","","",""
"迷星叫","MyGO!!!!!","","","","","","","","",""
"掌心正銘","MyGO!!!!!","","","","","","","","",""
"無路矢","MyGO!!!!!","","","","","","","","",""
"紫炎","Roselia","","","","","","","","",""
"陽だまりロードナイト","Roselia","","","","","","","","",""
"新時代","RAISE A SUILEN,Morfonica","","","","","","","","",""
"夢のみちしるべ","","","","","","","","","",""
"歌いましょう鳴らしましょう","MyGO!!!!!","","","","","","","","",""
"端程山","MyGO!!!!!","","","","","","","","",""
"影色舞","MyGO!!!!!","","","","","","","","",""
"熱色スターマイン","","","","","","","","","",""
"職業:あみた","Pastel＊Palettes","","","","","","","","",""
"A DECLARATION OF ×××","RAISE A SUILEN","","","","","","","","",""
"Apocalypse","RAISE A SUILEN","","","","","","","","",""
"Ave Mujica","Ave Mujica","","","","","","","","",""
"Beautiful Birthday","RAISE A SUILEN","","","","","","","","",""
"BLACK SHOUT","","","","","","","","","",""
